session_id,user_id,referrer,page,action,did_purchase,timestamp
SESSION_0,USER_8,search,homepage,,0,2026-01-01T00:00:00+00:00
SESSION_0,USER_8,search,exit,leave,0,2026-01-01T00:01:00+00:00
SESSION_1,USER_77,social,homepage,,0,2026-01-01T00:00:00+00:00
SESSION_1,USER_77,social,exit,leave,0,2026-01-01T00:01:00+00:00
SESSION_2,USER_65,email,homepage,,0,2026-01-01T00:00:00+00:00
SESSION_2,USER_65,email,search,browse,0,2026-01-01T00:01:00+00:00
SESSION_2,USER_65,email,product,view_product,0,2026-01-01T00:02:00+00:00
SESSION_2,USER_65,email,search,back,0,2026-01-01T00:03:00+00:00
SESSION_2,USER_65,email,product,view_product,0,2026-01-01T00:04:00+00:00
SESSION_2,USER_65,email,search,back,0,2026-01-01T00:05:00+00:00
SESSION_2,USER_65,email,product,view_product,0,2026-01-01T00:06:00+00:00
SESSION_2,USER_65,email,search,back,0,2026-01-01T00:07:00+00:00
SESSION_2,USER_65,email,product,view_product,0,2026-01-01T00:08:00+00:00
SESSION_2,USER_65,email,search,back,0,2026-01-01T00:09:00+00:00
SESSION_2,USER_65,email,product,view_product,0,2026-01-01T00:10:00+00:00
SESSION_2,USER_65,email,search,back,0,2026-01-01T00:11:00+00:00
SESSION_2,USER_65,email,product,view_product,0,2026-01-01T00:12:00+00:00
SESSION_2,USER_65,email,search,back,0,2026-01-01T00:13:00+00:00
SESSION_2,USER_65,email,product,view_product,0,2026-01-01T00:14:00+00:00
SESSION_2,USER_65,email,search,back,0,2026-01-01T00:15:00+00:00
SESSION_2,USER_65,email,product,view_product,0,2026-01-01T00:16:00+00:00
SESSION_2,USER_65,email,search,back,0,2026-01-01T00:17:00+00:00
SESSION_2,USER_65,email,product,view_product,0,2026-01-01T00:18:00+00:00
SESSION_2,USER_65,email,search,back,0,2026-01-01T00:19:00+00:00
SESSION_2,USER_65,email,product,view_product,0,2026-01-01T00:20:00+00:00
SESSION_2,USER_65,email,search,back,0,2026-01-01T00:21:00+00:00
SESSION_2,USER_65,email,product,view_product,0,2026-01-01T00:22:00+00:00
